episode,reward,reward_ma20,avg_aoi,avg_aoi_ma20,final_aoi,success_updates,service_attempts,success_rate,charge_steps,final_energy,min_energy,queue,epsilon
1,-117.02081258069836,-117.02081258069836,26.5,26.5,51.0,0,45,0.0,31,2648.301993214946,1480.8681029206225,2423.800178943747,0.97
2,-117.66600739947111,-117.34340999008474,26.5,26.5,51.0,0,43,0.0,32,1903.210467703707,903.2104677037071,3040.993876616177,0.9409
3,-116.86000860879776,-117.1822761963224,26.5,26.5,51.0,0,38,0.0,31,576.9040982660968,576.9040982660968,4495.198073846246,0.912673
4,-116.50184460352585,-117.01216829812327,26.5,26.5,51.0,0,41,0.0,38,3976.7262867273944,1304.6074576956573,1167.4780575778236,0.8852928099999999
5,-116.36634445982519,-116.88300353046365,26.5,26.5,51.0,0,39,0.0,30,1235.7042030994162,1235.7042030994162,3836.3979689805283,0.8587340256999999
6,-114.64891954494165,-116.51065619954333,26.5,26.5,51.0,0,38,0.0,41,3394.383123181924,2361.689922366996,1749.821221123291,0.8329720049289999
7,-115.23362705369384,-116.32822346442197,26.5,26.5,51.0,0,36,0.0,37,3638.226993042874,1838.2269930428738,1305.977351220181,0.8079828447811299
8,-116.84905833875223,-116.39332782371325,26.5,26.5,51.0,0,37,0.0,34,1642.1607549724456,842.1607549724456,3302.0435891716497,0.783743359437696
9,-116.30778754987007,-116.38382334884179,26.5,26.5,51.0,0,42,0.0,38,3680.3504524087884,1680.3504524087884,1391.7517197227216,0.7602310586545651
10,-116.87954543878863,-116.43339555783648,26.5,26.5,51.0,0,32,0.0,30,4037.543301654746,437.54330165474573,1034.5588704492693,0.7374241268949281
11,-116.91301550277508,-116.47699737101271,26.5,26.5,51.0,0,46,0.0,32,2290.1766307424145,1754.6444980485671,2781.9255413415663,0.7153014030880802
12,-117.83157408300859,-116.58987876367904,26.5,26.5,51.0,0,43,0.0,34,1955.449061298973,755.4490612989729,2988.755283029611,0.6938423609954378
13,-115.75874083248969,-116.52594507666446,26.5,26.5,51.0,0,35,0.0,29,2496.6007231479994,1490.9967998857035,2703.3992768520015,0.6730270901655747
14,-122.14167538398506,-116.9270686700445,25.5,26.428571428571427,49.0,0,41,0.0,30,0.0,0.0,5126.418530744811,0.6528362774606075
