episode,reward,reward_ma20,avg_aoi,avg_aoi_ma20,final_aoi,success_updates,service_attempts,success_rate,charge_steps,final_energy,min_energy,queue,epsilon
15,-116.91227028073733,-116.92608211075736,26.5,26.433333333333334,51.0,0,39,0.0,29,639.9609561499211,639.9609561499211,4432.14121590913,0.6332511891367892
16,-114.35876277833347,-116.76562465248088,26.5,26.4375,51.0,0,30,0.0,45,3133.6186928151437,1756.70242544909,2010.5856514844083,0.6142536534626856
17,-115.96080841620389,-116.71828252093518,26.5,26.441176470588236,51.0,0,27,0.0,37,3642.5233511737797,642.5233511737798,1301.6809930220652,0.595826043858805
18,-114.40209662827938,-116.58960552689875,26.5,26.444444444444443,51.0,0,32,0.0,38,3662.9690898262406,1774.5048623359562,1481.2352545750666,0.5779512625430409
19,-115.20815946248295,-116.51689783929791,26.5,26.44736842105263,51.0,0,38,0.0,36,3694.2690763226137,2294.2690763226137,1249.9352679211438,0.5606127246667496
20,-114.23882998987604,-116.40299444682682,26.5,26.45,51.0,0,26,0.0,39,4005.67068013829,1333.550778420557,1138.5336639859938,0.5437943429267471
21,-116.7908482460427,-116.39149623009402,26.5,26.45,51.0,0,47,0.0,42,3144.660879421154,1839.856970448697,1999.5434647920401,0.5274805126389447
22,-116.57572457163594,-116.33698208870226,26.5,26.45,51.0,0,40,0.0,32,2250.9664586452363,1250.9664586452366,2693.237885706619,0.5116560972597763
23,-118.70374205339814,-116.42916876093227,26.5,26.45,51.0,0,36,0.0,30,2845.592382578518,45.59238257851791,2026.5097895041727,0.496306414341983
24,-116.51475347824412,-116.42981420466819,26.5,26.45,51.0,0,31,0.0,30,190.07566929453853,190.07566929453853,4882.026502725985,0.48141722191172354
25,-115.08793040415233,-116.36589350188456,26.5,26.45,51.0,0,31,0.0,26,1578.0310229058507,1178.0310229058507,3494.071149305396,0.4669747052543718
26,-114.94711540681212,-116.3808032949781,26.5,26.45,51.0,0,27,0.0,27,882.9976632244303,882.9976632244303,4189.104508900979,0.4529654640967406
27,-90.33094812398019,-115.13566934849239,22.421739130434784,26.246086956521737,37.8,7,34,0.20588235294117646,29,0.0,0.0,5147.320820946947,0.4393765001738384
28,-105.25116353300655,-114.55577460820511,24.583999999999996,26.15028695652174,48.8,3,39,0.07692307692307693,32,2201.191909808932,1644.234584100183,2870.9102623352146,0.42619520516862325
29,-111.44966354502267,-114.31286840796274,24.0,26.02528695652174,46.0,0,32,0.0,29,0.0,0.0,5114.811322157264,0.4134093490135645
30,-61.40477764467658,-111.53913001825715,16.316666666666666,25.516120289855074,30.0,8,33,0.24242424242424243,14,0.0,0.0,5022.522425494729,0.4010070685431576
31,-64.34552515946777,-108.91075550109176,18.108108108108105,25.09652569526048,30.8,9,34,0.2647058823529412,16,0.0,0.0,5037.360732629867,0.38897685648686287
32,-63.00615120068779,-106.16948435697574,17.62222222222222,24.65263680637159,29.8,8,32,0.25,14,0.0,0.0,5005.650954179981,0.377307550792257
33,-50.623870004541885,-102.91274081557833,16.497297297297298,24.152501671236454,30.8,16,35,0.45714285714285713,16,0.0,0.0,5086.890157313608,0.36598832426848926
34,-59.454737930926065,-99.7783939429254,17.122222222222224,23.733612782347564,30.2,10,31,0.3225806451612903,15,0.0,0.0,5150.35186518653,0.35500867454043455
35,-79.1357520520649,-97.88956803149178,19.8,23.398612782347563,30.6,1,28,0.03571428571428571,15,0.0,0.0,5101.24138788599,0.3443584143042215
36,-38.56395808712608,-94.09982779693141,16.4,22.893612782347564,30.8,23,32,0.71875,17,0.0,0.0,5099.42836571609,0.3340276618750948
37,-33.7213251494974,-89.98785363359609,16.2972972972973,22.383477647212427,30.6,26,35,0.7428571428571429,19,0.0,0.0,5104.067833413715,0.32400683201884195
38,-89.34891731507354,-88.7351946679358,20.0,22.058477647212428,38.0,0,35,0.0,14,0.0,0.0,5094.415439771868,0.3142866270582767
39,-59.27133966817043,-85.93835367822018,16.978378378378377,21.582396566131344,30.6,11,34,0.3235294117647059,17,0.0,0.0,5034.26970494401,0.3048580282465284
40,-39.883385721764846,-82.22058146481461,16.736842105263158,21.094238671394507,31.6,24,37,0.6486486486486487,18,0.0,0.0,5135.472499470376,0.2957122873991326
41,-34.57033743549337,-78.10955592428715,15.88888888888889,20.563683115838952,30.0,24,33,0.7272727272727273,16,0.0,0.0,5035.17239655197,0.2868409187771586
42,-45.260144885804465,-74.54377693999557,16.356756756756756,20.056520953676788,30.8,19,33,0.5757575757575758,18,0.0,0.0,5104.442662067403,0.27823569121384384
43,-42.64194380167442,-70.74068702740938,16.583783783783783,19.56071014286598,30.6,21,37,0.5675675675675675,16,0.0,0.0,5091.3247303373955,0.2698886204774285
44,-47.465000105738504,-67.28819935878411,16.475675675675678,19.059493926649758,30.6,18,37,0.4864864864864865,18,0.0,0.0,5080.438397905055,0.26179196186310566
45,-65.16331496874113,-64.79196858701353,17.221621621621622,18.59557500773084,30.6,8,37,0.21621621621621623,18,0.0,0.0,5098.598466112756,0.2539382030072125
46,-34.01176412867997,-60.74520102310693,16.37837837837838,18.089493926649762,30.6,26,36,0.7222222222222222,17,0.0,0.0,5116.740198196829,0.2463200569169961
47,-26.70425631433408,-57.563866432624614,15.872222222222222,17.762018081239134,30.0,29,35,0.8285714285714286,17,0.0,0.0,5034.041455950521,0.23893045520948622
48,-31.89163401635308,-53.89588995679194,16.28108108108108,17.34687213529319,30.6,27,34,0.7941176470588235,18,0.0,0.0,5106.930725975253,0.23176254155320164
49,-49.70972239097425,-50.80889289908953,16.233333333333334,16.958538801959854,29.8,15,32,0.46875,14,0.0,0.0,5151.3191554761215,0.2248096653066056
50,-34.91988047737855,-49.48464804072463,16.68421052631579,16.97691599494231,31.6,27,38,0.7105263157894737,20,0.0,0.0,5078.223934981875,0.21806537534740741
51,-33.89897188148768,-47.962320376825616,16.2972972972973,16.886375454401772,30.6,26,36,0.7222222222222222,17,0.0,0.0,5137.295783982902,0.2115234140869852
52,-26.587109928215977,-46.14136831320203,15.872222222222222,16.79887545440177,29.8,29,36,0.8055555555555556,16,0.0,0.0,5076.905098258026,0.20517771166437562
53,-29.782820475954267,-45.09931583677265,15.91111111111111,16.76956614509246,29.8,27,36,0.75,16,0.0,0.0,5016.0728691161985,0.19902238031444436
54,-30.48846531959638,-43.65100220620617,16.27027027027027,16.72696854749486,30.6,28,36,0.7777777777777778,19,0.0,0.0,5108.181962661814,0.19305170890501103
55,-33.992445854995886,-41.39383689635272,16.345945945945946,16.554265844792162,30.8,26,35,0.7428571428571429,16,0.0,0.0,5128.219293417992,0.1872601576378607
56,-48.987617711226896,-41.915019877557754,16.535135135135135,16.561022601548917,30.8,17,35,0.4857142857142857,17,0.0,0.0,5069.164323485964,0.18164235290872485
57,-51.3693422227633,-42.79742073122105,16.63783783783784,16.578049628575943,30.6,15,29,0.5172413793103449,14,0.0,0.0,5090.574884709666,0.1761930823214631
58,-35.73369276280643,-40.11665950360769,16.3027027027027,16.393184763711076,30.8,25,36,0.6944444444444444,18,0.0,0.0,5085.414946327642,0.17090728985181922
59,-29.78715079100039,-38.64245005974919,15.905555555555557,16.339543622569938,29.8,27,35,0.7714285714285715,17,0.0,0.0,5043.454498280028,0.16578007115626464
60,-25.382624401319653,-37.91741199372693,16.237837837837837,16.31459340919867,30.6,31,36,0.8611111111111112,20,0.0,0.0,5053.311850818964,0.1608066690215767
61,-26.60810231523027,-37.51930023771378,15.894444444444446,16.31487118697645,30.0,29,35,0.8285714285714286,17,0.0,0.0,5042.039013932539,0.1559824689509294
62,-32.755060437282275,-36.894046015287664,16.32432432432433,16.31324956535483,31.2,27,35,0.7714285714285715,17,0.0,0.0,5141.083463818963,0.1513029948824015
63,-28.97738785865993,-36.210818218136936,15.938888888888888,16.281004820610086,29.8,27,30,0.9,17,0.0,0.0,5050.576682126702,0.14676390503592945
64,-29.821842087249063,-35.32866031721247,15.86111111111111,16.25027659238185,30.0,27,34,0.7941176470588235,17,0.0,0.0,5096.318408328727,0.14236098788485158
65,-24.990382472245066,-33.32001369238766,15.849999999999998,16.181695511300774,30.0,30,36,0.8333333333333334,17,0.0,0.0,5043.582713453696,0.13809015824830603
66,-28.311826047693735,-33.03501678833835,15.86111111111111,16.15583214793741,30.0,28,35,0.8,16,0.0,0.0,5017.738693248753,0.13394745350085685
67,-25.675519195420986,-32.98357993239271,16.237837837837837,16.17411292871819,30.6,31,37,0.8378378378378378,18,0.0,0.0,5079.564873574198,0.12992902989583113
68,-33.963935907015895,-33.08719502692585,15.525714285714285,16.13634458894985,29.2,23,33,0.696969696969697,15,0.0,0.0,5029.965615413148,0.1260311589989562
69,-33.16480107448773,-32.25994896110152,15.955555555555556,16.12245570006096,29.8,25,36,0.6944444444444444,15,0.0,0.0,5025.647926574399,0.12225022422898751
70,-31.58770794553648,-32.09334033450941,15.972222222222221,16.08685628485629,29.8,26,36,0.7222222222222222,16,0.0,0.0,5057.884333071456,0.11858271750211788
71,-23.111256241826517,-31.553954552526356,15.844444444444441,16.06421364221364,29.8,31,35,0.8857142857142857,16,0.0,0.0,5106.188051682017,0.11502523597705434
72,-26.33947793806822,-31.541572953018964,15.855555555555558,16.06338030888031,29.8,29,35,0.8285714285714286,17,0.0,0.0,5041.2072937932935,0.1115744788977427
73,-33.308401129459966,-31.717851985694256,15.894444444444442,16.062546975546976,29.8,25,36,0.6944444444444444,15,0.0,0.0,5056.03847521333,0.10822724453081042
74,-25.995926099030818,-31.493225024665968,15.855555555555554,16.04181123981124,29.8,29,33,0.8787878787878788,18,0.0,0.0,5015.666490553631,0.10498042719488611
75,-21.10653613963705,-30.848929538898027,15.827777777777776,16.015902831402833,29.8,32,34,0.9411764705882353,18,0.0,0.0,5010.693055012447,0.10183101437903952
76,-33.24272794222135,-30.061685050447757,15.93333333333333,15.985812741312742,29.8,25,35,0.7142857142857143,16,0.0,0.0,5051.781288262985,0.09877608394766833
77,-24.0373194852682,-28.695083913573,16.25945945945946,15.966893822393823,30.6,32,37,0.8648648648648649,18,0.0,0.0,5133.936859197101,0.09581280142923829
78,-24.724388300462586,-28.144618690455808,15.849999999999998,15.944258687258687,29.8,30,35,0.8571428571428571,17,0.0,0.0,5028.287753100557,0.09293841738636113
79,-18.98433054527883,-27.60447767816973,16.216216216216214,15.959791720291719,30.6,35,36,0.9722222222222222,18,0.0,0.0,5125.612029979996,0.09015026486477029
80,-23.08721374611917,-27.489707145409703,15.833333333333334,15.939566495066492,30.0,31,34,0.9117647058823529,16,0.0,0.0,5139.328844450936,0.08744575691882718
81,-24.733427016222578,-27.39597338045932,15.838888888888887,15.936788717288715,29.8,30,35,0.8571428571428571,15,0.0,0.0,5055.976389905727,0.08482238421126237
82,-31.311264918522966,-27.323783604521356,15.916666666666666,15.916405834405833,29.8,26,34,0.7647058823529411,15,0.0,0.0,5076.940507331193,0.0822777126849245
83,-21.165546698442554,-26.93319154651049,15.827777777777776,15.91085027885028,29.8,32,34,0.9411764705882353,17,0.0,0.0,5014.377265193792,0.07980938130437676
84,-29.570256233775257,-26.920612253836794,15.92222222222222,15.913905834405835,29.8,27,34,0.7941176470588235,17,0.0,0.0,5008.716389088415,0.07741509986524546
85,-23.085830782866434,-26.82538466936786,15.850000000000001,15.913905834405835,29.8,31,35,0.8857142857142857,16,0.0,0.0,5093.7730177303565,0.0750926468692881
86,-23.905173865853087,-26.60505206027583,16.243243243243242,15.93301244101244,30.6,32,36,0.8888888888888888,18,0.0,0.0,5160.839728720988,0.07283986746320946
87,-23.06347812927678,-26.474450006968624,15.83333333333333,15.912787215787215,29.8,31,35,0.8857142857142857,15,0.0,0.0,5100.732506117213,0.07065467143931317
88,-32.96116993662466,-26.42431170844906,15.944444444444445,15.933723723723721,29.8,25,34,0.7352941176470589,16,0.0,0.0,5010.677066128295,0.06853503129613378
89,-35.97993597721859,-26.565068453585603,16.459459459459456,15.95891891891892,30.6,25,37,0.6756756756756757,17,0.0,0.0,5122.084645828787,0.06647898035724976
90,-22.068695764404353,-26.089117844529,16.227027027027027,15.97165915915916,30.6,33,36,0.9166666666666666,18,0.0,0.0,5066.936174895833,0.06448461094653227
91,-22.469211811289263,-26.057015623002137,15.445714285714283,15.951722651222653,29.0,30,35,0.8571428571428571,15,0.0,0.0,5028.444742390046,0.06255007261813629
92,-30.341108590034022,-26.257097155600423,16.28108108108108,15.972998927498926,30.8,28,33,0.8484848484848485,17,0.0,0.0,5100.887152502747,0.0606735704395922
93,-21.602977366487757,-25.671825967451817,15.838888888888887,15.970221149721151,29.8,32,36,0.8888888888888888,17,0.0,0.0,5115.6337006441045,0.05885336332640443
94,-23.341519371503253,-25.539105631075437,15.86111111111111,15.970498927498927,29.8,31,36,0.8611111111111112,17,0.0,0.0,5061.6202564286805,0.057087762426612294
95,-21.5958353005461,-25.56357058912089,15.827777777777776,15.970498927498927,29.8,32,36,0.8888888888888888,18,0.0,0.0,5126.311067824354,0.05537512955381393
96,-23.256216705089543,-25.0642450272643,15.849999999999998,15.96633226083226,29.8,31,36,0.8611111111111112,16,0.0,0.0,5026.416426490692,0.053713875667199505
97,-23.507800333437032,-25.03776906967274,16.25945945945946,15.96633226083226,30.6,32,34,0.9411764705882353,14,0.0,0.0,5114.465762053165,0.05210245939718352
98,-22.18547340662471,-24.910823324980846,16.237837837837837,15.985724152724151,30.6,33,36,0.9166666666666666,17,0.0,0.0,5064.653965259458,0.05053938561526801
99,-24.58716743116363,-25.190965169275085,15.866666666666665,15.968246675246675,29.8,30,33,0.9090909090909091,15,0.0,0.0,5111.62521407181,0.05
100,-22.9142003253833,-25.182314498238295,15.86111111111111,15.969635564135562,29.8,31,34,0.9117647058823529,17,0.0,0.0,5022.364452338398,0.05
